Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,AFG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7228795956,7867263298,7978515683,8874480241,9349921934,10642672018,11060395173,13426272143,15354612621,15420077746,17386490330,18360263258,18860496593,19134221745,19566715276,20084646856,20323499126,21118473812,20621957232,16345202648,NA,NA
Albania,ALB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4650626379,4917834409,5062841518,5118782791,5054716277,5144722777,5434743311,5391926085,5315358596,5838206448,5279160806,3800882719,3527709062,3864937294,4185837882,4743489157,5175146643,4610021454,5017059783,5663799109,6057218862,6559562959,6857139117,7236245480,7635300387,8057259479,8532852034,9043394715,9721653066,10047745439,10420209148,10685445792,10836884503,10945471987,11139693789,11386853113,11764325094,12211675170,12702504600,12967696313,12539492342,13656576506,14319794713,NA
Algeria,DZA,23999014990,20733843087,16652377404,22366429021,23672497187,25141824991,23933767606,26196217698,29024423857,31472134871,34261402270,30378996381,38710123078,40186208315,43198131557,45377624864,49183335760,51769683762,56540175063,60768151286,61248588527,63086043787,67123553185,70748227087,74710125349,77474397936,77784296305,77239808155,76467405832,79831973341,80470629591,79504981565,80936073064,79236414916,78523289914,81507170839,84848963597,85782302145,90157202650,93042234535,96577839449,99475174632,1.05046E+11,1.12609E+11,1.17451E+11,1.24381E+11,1.26495E+11,1.30796E+11,1.33935E+11,1.36078E+11,1.40977E+11,1.45065E+11,1.49998E+11,1.54198E+11,1.60057E+11,1.65979E+11,1.71291E+11,1.73517E+11,1.756E+11,1.77356E+11,1.6831E+11,1.74033E+11,1.79602E+11,NA
American Samoa,ASM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,744923664.1,752116030.5,755198473.3,752116030.5,721291603.1,734648855,715126717.6,685329771,687384732.8,687384732.8,657587786.3,641148091.6,652450381.7,673000000,661697709.9,615461068.7,631900763.4,628818320.6,656560305.3,651422900.8,662725190.8,NA
Andorra,AND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,859122124.4,899066710,972338340.6,1048068593,1106957364,1112959349,1149729156,1182365087,1199663090,1200161637,1226669938,1225044913,1240314622,1262269658,1284797217,1314622924,1357391837,1432688021,1505673822,1578353213,1638036866,1679741342,1695349734,1677862467,1717848987,1765218701,1847296757,2014803569,2079172380,2164399297,2240767147,2422703047,2532847903,2753058860,2977038818,3137733300,3288617127,3339695538,3154035639,2986781969,2927794279,2927558014,2781928288,2683236697,2750437435,2789882569,2893378231,2903391400,2949519480,3008968450,2672447226,2893918267,3148860293,NA
Angola,AGO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23063262105,22048478291,22048478291,22974514694,24352986073,25205340462,25936295774,26995209536,28649716363,28661640793,27672785901,27947122638,26315491162,20004137065,20272065162,23312874942,26470456925,28395991379,29728088921,30376604124,31304495235,32621161853,37079068302,38187732444,42369289149,48737393304,54366562229,61983317603,68906854175,69499453123,72556300346,75075493656,81488522712,85525963677,89650503966,90496420626,88161512322,88031782811,86872966148,86262880799,81399194358,82375342061,84884003208,NA
Antigua and Barbuda,ATG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,390208642.4,407313937.4,440223866.3,476152432.4,494317248.6,493901961.5,520394943,573293066.1,617114404.8,688044476.5,733636841.3,771883331.9,812424764.6,836892680.5,855108307.5,865014525.1,910686242.9,971490096,929137136.3,990501624.2,1044697995,1094123964,1134689900,1205079608,1150272546,1162090929,1232705891,1303796393,1388201972,1564616741,1710366785,1710121507,1505544849,1387501179,1360325405,1379904141,1386609537,1417273749,1437755556,1496700162,1533568877,1640200775,1691054300,1371776497,1484148566,1625386016,NA
Argentina,ARG,1.50798E+11,1.58983E+11,1.57628E+11,1.49261E+11,1.64382E+11,1.81756E+11,1.80557E+11,1.8632E+11,1.95305E+11,2.1421E+11,2.20734E+11,2.33224E+11,2.37021E+11,2.43686E+11,2.57171E+11,2.57098E+11,2.51909E+11,2.69377E+11,2.57238E+11,2.83535E+11,2.87842E+11,2.72903E+11,2.70896E+11,2.82677E+11,2.87117E+11,2.72219E+11,2.88969E+11,2.96785E+11,2.93551E+11,2.72541E+11,2.65817E+11,2.90095E+11,3.1312E+11,3.38818E+11,3.58592E+11,3.48389E+11,3.67644E+11,3.97464E+11,4.12767E+11,3.98793E+11,3.95646E+11,3.78203E+11,3.36999E+11,3.6678E+11,3.99899E+11,4.35297E+11,4.70326E+11,5.12691E+11,5.33492E+11,5.01917E+11,5.52738E+11,5.85924E+11,5.7991E+11,5.93859E+11,5.78938E+11,5.94749E+11,5.82377E+11,5.98791E+11,5.83118E+11,5.71451E+11,5.14874E+11,5.70059E+11,5.98313E+11,NA
Armenia,ARM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5839777094,5156523263,3001096397,2736999951,2884798024,3083849042,3264729147,3373153404,3619393602,3738833591,3959424773,4339529551,4912347451,5600076095,6188084085,7048227772,7978593838,9071661194,9697605817,8330243396,8513508751,8913643662,9555426006,9870755064,10226102247,10553337518,10574444193,11367527508,11958638938,12867495498,11941035822,12633615900,14225451503,NA
Aruba,ABW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1040067806,1207294394,1432438484,1606190988,1669818666,1802784184,1908830331,2048321796,2216364095,2272818073,2299768888,2461830727,2510870012,2541955634,2735726894,2850135065,2823202581,2854554387,3062757846,3051023208,3085420814,3180746244,3239136974,2860878914,2782678056,2876433106,2846495186,3029567007,2981500665,2962907263,3013858130,3226290923,3303132466,3227066715,2453132847,3131162991,3458629954,NA
Australia,AUS,2.04553E+11,2.09631E+11,2.12344E+11,2.25544E+11,2.41288E+11,2.55718E+11,2.61801E+11,2.78308E+11,2.92484E+11,3.1309E+11,3.35557E+11,3.48981E+11,3.62627E+11,3.72126E+11,3.8741E+11,3.92588E+11,4.02751E+11,4.17231E+11,4.20958E+11,4.38009E+11,4.51305E+11,4.66378E+11,4.81886E+11,4.71167E+11,4.92802E+11,5.18814E+11,5.39389E+11,5.53211E+11,5.85042E+11,6.07734E+11,6.29486E+11,6.27082E+11,6.29764E+11,6.55239E+11,6.81315E+11,7.07772E+11,7.3512E+11,7.63886E+11,7.99508E+11,8.39705E+11,8.72634E+11,8.90306E+11,9.25737E+11,9.54348E+11,9.94663E+11,1.02604E+12,1.05431E+12,1.09409E+12,1.13333E+12,1.15478E+12,1.18049E+12,1.20892E+12,1.25629E+12,1.28904E+12,1.32265E+12,1.35177E+12,1.38934E+12,1.42155E+12,1.46287E+12,1.49477E+12,1.48977E+12,1.52123E+12,1.58617E+12,NA
Austria,AUT,84930957866,89634416746,92008541235,95816100869,1.01684E+11,1.05223E+11,1.11161E+11,1.14504E+11,1.19625E+11,1.27133E+11,1.35169E+11,1.42083E+11,1.50903E+11,1.58283E+11,1.64523E+11,1.63924E+11,1.7143E+11,1.80138E+11,1.79759E+11,1.89388E+11,1.92667E+11,1.92389E+11,1.96259E+11,2.02093E+11,2.02197E+11,2.07249E+11,2.12019E+11,2.14896E+11,2.21979E+11,2.30608E+11,2.40629E+11,2.48911E+11,2.54122E+11,2.5546E+11,2.61597E+11,2.68576E+11,2.74886E+11,2.80641E+11,2.90692E+11,3.0103E+11,3.11192E+11,3.15136E+11,3.2034E+11,3.23356E+11,3.322E+11,3.39655E+11,3.51387E+11,3.64485E+11,3.69808E+11,3.55886E+11,3.62424E+11,3.73017E+11,3.75555E+11,3.75651E+11,3.78135E+11,3.81971E+11,3.8957E+11,3.98369E+11,4.08031E+11,4.1395E+11,3.86492E+11,4.02871E+11,4.22235E+11,NA
Azerbaijan,AZE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20240091908,20098411229,15556170225,11962695103,9606044019,8472530911,8582673762,9080468853,9988515703,10727665995,11918436828,13098362058,14334705485,15798035140,17259953999,22086102614,29705808016,37132259976,41127311680,44950656172,47220189861,47267410116,48290862738,51096465689,52501877460,53076235355,51430872122,51533733835,52306739843,53614408374,51308988759,54190732986,56692460618,NA
